Area,Item,Element,Year,Value
Brazil,Sugar cane,Crop residues (Emissions N2O),2016,
Brazil,Sugar cane,Crop residues (Emissions N2O),2017,
Brazil,Sugar cane,Crop residues (Emissions N2O),2018,
Brazil,Sugar cane,Crop residues (Emissions N2O),2019,
Brazil,Sugar cane,Crop residues (Emissions N2O),2020,
Brazil,Sugar cane,Crop residues (Emissions N2O),2021,
Brazil,Sugar cane,Crop residues (Emissions N2O),2022,
Brazil,Sugar cane,Crop residues (Emissions N2O),2030,
Brazil,Sugar cane,Crop residues (Emissions N2O),2050,
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1961,0.0622
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1962,0.0667
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1963,0.0687
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1964,0.0691
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1965,0.0776
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1966,0.0744
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1967,0.0765
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1968,0.0767
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1969,0.0761
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1970,0.0785
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1971,0.0786
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1972,0.082
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1973,0.0891
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1974,0.0936
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1975,0.0896
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1976,0.0953
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1977,0.1033
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1978,0.1088
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1979,0.1154
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1980,0.1186
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1981,0.1286
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1982,0.1403
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1983,0.1583
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1984,0.1663
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1985,0.178
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1986,0.1795
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1987,0.196
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1988,0.1872
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1989,0.1851
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1990,0.1944
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1991,0.1916
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1992,0.1912
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1993,0.1758
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1994,0.1977
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1995,0.2074
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1996,0.2161
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1997,0.219
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1998,0.2269
Brazil,Sugar cane,Burning crop residues (Emissions N2O),1999,0.2229
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2000,0.2186
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2001,0.2256
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2002,0.2321
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2003,0.2444
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2004,0.2562
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2005,0.2642
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2006,0.2892
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2007,0.3222
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2008,0.3704
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2009,0.3921
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2010,0.413
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2011,0.4369
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2012,0.4416
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2013,0.4639
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2014,0.4741
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2015,0.4601
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2016,0.4652
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2017,0.4636
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2018,0.4561
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2019,0.4592
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2020,0.4548
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2021,0.4537
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2022,0.4491
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2030,0.4042
Brazil,Sugar cane,Burning crop residues (Emissions N2O),2050,0.4225
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1961,2.3985
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1962,2.5739
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1963,2.6483
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1964,2.6667
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1965,2.9924
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1966,2.8703
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1967,2.9497
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1968,2.9602
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1969,2.9345
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1970,3.0276
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1971,3.0326
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1972,3.1636
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1973,3.4377
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1974,3.6095
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1975,3.456
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1976,3.6741
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1977,3.9839
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1978,4.197
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1979,4.4524
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1980,4.5764
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1981,4.9594
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1982,5.4129
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1983,6.1053
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1984,6.4159
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1985,6.8656
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1986,6.9229
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1987,7.5617
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1988,7.2187
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1989,7.1388
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1990,7.4984
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1991,7.3902
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1992,7.3756
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1993,6.7808
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1994,7.6259
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1995,8.0012
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1996,8.3368
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1997,8.4487
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1998,8.7501
Brazil,Sugar cane,Burning crop residues (Emissions CH4),1999,8.5975
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2000,8.4319
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2001,8.7011
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2002,8.9512
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2003,9.4261
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2004,9.8837
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2005,10.1887
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2006,11.1539
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2007,12.427
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2008,14.2859
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2009,15.1238
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2010,15.9296
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2011,16.8503
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2012,17.033
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2013,17.8925
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2014,18.2865
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2015,17.7455
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2016,17.9429
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2017,17.8821
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2018,17.5923
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2019,17.7122
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2020,17.5432
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2021,17.4998
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2022,17.3229
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2030,15.5915
Brazil,Sugar cane,Burning crop residues (Emissions CH4),2050,16.2966
Brazil,Potatoes,Crop residues (Emissions N2O),1961,0.0992
Brazil,Potatoes,Crop residues (Emissions N2O),1962,0.1023
Brazil,Potatoes,Crop residues (Emissions N2O),1963,0.1044
Brazil,Potatoes,Crop residues (Emissions N2O),1964,0.1099
Brazil,Potatoes,Crop residues (Emissions N2O),1965,0.1069
Brazil,Potatoes,Crop residues (Emissions N2O),1966,0.1073
Brazil,Potatoes,Crop residues (Emissions N2O),1967,0.1174
Brazil,Potatoes,Crop residues (Emissions N2O),1968,0.124
Brazil,Potatoes,Crop residues (Emissions N2O),1969,0.1197
Brazil,Potatoes,Crop residues (Emissions N2O),1970,0.1184
Brazil,Potatoes,Crop residues (Emissions N2O),1971,0.1158
Brazil,Potatoes,Crop residues (Emissions N2O),1972,0.1137
Brazil,Potatoes,Crop residues (Emissions N2O),1973,0.1031
Brazil,Potatoes,Crop residues (Emissions N2O),1974,0.1112
Brazil,Potatoes,Crop residues (Emissions N2O),1975,0.1104
Brazil,Potatoes,Crop residues (Emissions N2O),1976,0.1185
Brazil,Potatoes,Crop residues (Emissions N2O),1977,0.1169
Brazil,Potatoes,Crop residues (Emissions N2O),1978,0.1256
Brazil,Potatoes,Crop residues (Emissions N2O),1979,0.1253
Brazil,Potatoes,Crop residues (Emissions N2O),1980,0.1117
Brazil,Potatoes,Crop residues (Emissions N2O),1981,0.1071
Brazil,Potatoes,Crop residues (Emissions N2O),1982,0.1165
Brazil,Potatoes,Crop residues (Emissions N2O),1983,0.1046
Brazil,Potatoes,Crop residues (Emissions N2O),1984,0.1128
Brazil,Potatoes,Crop residues (Emissions N2O),1985,0.1013
Brazil,Potatoes,Crop residues (Emissions N2O),1986,0.1013
Brazil,Potatoes,Crop residues (Emissions N2O),1987,0.1179
Brazil,Potatoes,Crop residues (Emissions N2O),1988,0.1153
Brazil,Potatoes,Crop residues (Emissions N2O),1989,0.1055
Brazil,Potatoes,Crop residues (Emissions N2O),1990,0.1081
Brazil,Potatoes,Crop residues (Emissions N2O),1991,0.1101
Brazil,Potatoes,Crop residues (Emissions N2O),1992,0.1181
Brazil,Potatoes,Crop residues (Emissions N2O),1993,0.1123
Brazil,Potatoes,Crop residues (Emissions N2O),1994,0.1186
Brazil,Potatoes,Crop residues (Emissions N2O),1995,0.1246
Brazil,Potatoes,Crop residues (Emissions N2O),1996,0.1142
Brazil,Potatoes,Crop residues (Emissions N2O),1997,0.1234
Brazil,Potatoes,Crop residues (Emissions N2O),1998,0.1269
Brazil,Potatoes,Crop residues (Emissions N2O),1999,0.1286
Brazil,Potatoes,Crop residues (Emissions N2O),2000,0.1127
Brazil,Potatoes,Crop residues (Emissions N2O),2001,0.1183
Brazil,Potatoes,Crop residues (Emissions N2O),2002,0.1266
Brazil,Potatoes,Crop residues (Emissions N2O),2003,0.1221
Brazil,Potatoes,Crop residues (Emissions N2O),2004,0.1175
Brazil,Potatoes,Crop residues (Emissions N2O),2005,0.1189
Brazil,Potatoes,Crop residues (Emissions N2O),2006,0.1188
Brazil,Potatoes,Crop residues (Emissions N2O),2007,0.1293
Brazil,Potatoes,Crop residues (Emissions N2O),2008,0.1306
Brazil,Potatoes,Crop residues (Emissions N2O),2009,0.1236
Brazil,Potatoes,Crop residues (Emissions N2O),2010,0.1249
Brazil,Potatoes,Crop residues (Emissions N2O),2011,0.1371
Brazil,Potatoes,Crop residues (Emissions N2O),2012,0.1281
Brazil,Potatoes,Crop residues (Emissions N2O),2013,0.1214
Brazil,Potatoes,Crop residues (Emissions N2O),2014,0.1256
Brazil,Potatoes,Crop residues (Emissions N2O),2015,0.129
Brazil,Potatoes,Crop residues (Emissions N2O),2016,0.1279
Brazil,Potatoes,Crop residues (Emissions N2O),2017,0.1193
Brazil,Potatoes,Crop residues (Emissions N2O),2018,0.1213
Brazil,Potatoes,Crop residues (Emissions N2O),2019,0.1198
Brazil,Potatoes,Crop residues (Emissions N2O),2020,0.1208
Brazil,Potatoes,Crop residues (Emissions N2O),2021,0.1224
Brazil,Potatoes,Crop residues (Emissions N2O),2022,0.1237
Brazil,Potatoes,Crop residues (Emissions N2O),2030,0.1524
Brazil,Potatoes,Crop residues (Emissions N2O),2050,0.1679
Brazil,Wheat,Crop residues (Emissions N2O),1961,0.199
Brazil,Wheat,Crop residues (Emissions N2O),1962,0.2146
Brazil,Wheat,Crop residues (Emissions N2O),1963,0.1476
Brazil,Wheat,Crop residues (Emissions N2O),1964,0.1997
Brazil,Wheat,Crop residues (Emissions N2O),1965,0.1892
Brazil,Wheat,Crop residues (Emissions N2O),1966,0.1921
Brazil,Wheat,Crop residues (Emissions N2O),1967,0.2038
Brazil,Wheat,Crop residues (Emissions N2O),1968,0.2654
Brazil,Wheat,Crop residues (Emissions N2O),1969,0.4147
Brazil,Wheat,Crop residues (Emissions N2O),1970,0.5573
Brazil,Wheat,Crop residues (Emissions N2O),1971,0.6228
Brazil,Wheat,Crop residues (Emissions N2O),1972,0.3944
Brazil,Wheat,Crop residues (Emissions N2O),1973,0.5954
Brazil,Wheat,Crop residues (Emissions N2O),1974,0.8291
Brazil,Wheat,Crop residues (Emissions N2O),1975,0.6216
Brazil,Wheat,Crop residues (Emissions N2O),1976,0.9891
Brazil,Wheat,Crop residues (Emissions N2O),1977,0.7009
Brazil,Wheat,Crop residues (Emissions N2O),1978,0.8165
Brazil,Wheat,Crop residues (Emissions N2O),1979,0.9456
Brazil,Wheat,Crop residues (Emissions N2O),1980,0.842
Brazil,Wheat,Crop residues (Emissions N2O),1981,0.6416
Brazil,Wheat,Crop residues (Emissions N2O),1982,0.6227
Brazil,Wheat,Crop residues (Emissions N2O),1983,0.6447
Brazil,Wheat,Crop residues (Emissions N2O),1984,0.5772
Brazil,Wheat,Crop residues (Emissions N2O),1985,1.1744
Brazil,Wheat,Crop residues (Emissions N2O),1986,1.5627
Brazil,Wheat,Crop residues (Emissions N2O),1987,1.6339
Brazil,Wheat,Crop residues (Emissions N2O),1988,1.5556
Brazil,Wheat,Crop residues (Emissions N2O),1989,1.4982
Brazil,Wheat,Crop residues (Emissions N2O),1990,0.8978
Brazil,Wheat,Crop residues (Emissions N2O),1991,0.8109
Brazil,Wheat,Crop residues (Emissions N2O),1992,0.7765
Brazil,Wheat,Crop residues (Emissions N2O),1993,0.6063
Brazil,Wheat,Crop residues (Emissions N2O),1994,0.5735
Brazil,Wheat,Crop residues (Emissions N2O),1995,0.4203
Brazil,Wheat,Crop residues (Emissions N2O),1996,0.8769
Brazil,Wheat,Crop residues (Emissions N2O),1997,0.6751
Brazil,Wheat,Crop residues (Emissions N2O),1998,0.6172
Brazil,Wheat,Crop residues (Emissions N2O),1999,0.6487
Brazil,Wheat,Crop residues (Emissions N2O),2000,0.4743
Brazil,Wheat,Crop residues (Emissions N2O),2001,0.8885
Brazil,Wheat,Crop residues (Emissions N2O),2002,0.8576
Brazil,Wheat,Crop residues (Emissions N2O),2003,1.5796
Brazil,Wheat,Crop residues (Emissions N2O),2004,1.5224
Brazil,Wheat,Crop residues (Emissions N2O),2005,1.2273
Brazil,Wheat,Crop residues (Emissions N2O),2006,0.677
Brazil,Wheat,Crop residues (Emissions N2O),2007,1.0666
Brazil,Wheat,Crop residues (Emissions N2O),2008,1.5365
Brazil,Wheat,Crop residues (Emissions N2O),2009,1.322
Brazil,Wheat,Crop residues (Emissions N2O),2010,1.5555
Brazil,Wheat,Crop residues (Emissions N2O),2011,1.4436
Brazil,Wheat,Crop residues (Emissions N2O),2012,1.1397
Brazil,Wheat,Crop residues (Emissions N2O),2013,1.4508
Brazil,Wheat,Crop residues (Emissions N2O),2014,1.6245
Brazil,Wheat,Crop residues (Emissions N2O),2015,1.4275
Brazil,Wheat,Crop residues (Emissions N2O),2016,1.7041
Brazil,Wheat,Crop residues (Emissions N2O),2017,1.1222
Brazil,Wheat,Crop residues (Emissions N2O),2018,1.3895
Brazil,Wheat,Crop residues (Emissions N2O),2019,1.4187
Brazil,Wheat,Crop residues (Emissions N2O),2020,1.6131
Brazil,Wheat,Crop residues (Emissions N2O),2021,1.9834
Brazil,Wheat,Crop residues (Emissions N2O),2022,2.5707
Brazil,Wheat,Crop residues (Emissions N2O),2030,1.7691
Brazil,Wheat,Crop residues (Emissions N2O),2050,2.1284
Brazil,Wheat,Burning crop residues (Emissions N2O),1961,0.0286
Brazil,Wheat,Burning crop residues (Emissions N2O),1962,0.0208
Brazil,Wheat,Burning crop residues (Emissions N2O),1963,0.0222
Brazil,Wheat,Burning crop residues (Emissions N2O),1964,0.0205
Brazil,Wheat,Burning crop residues (Emissions N2O),1965,0.0215
Brazil,Wheat,Burning crop residues (Emissions N2O),1966,0.0201
Brazil,Wheat,Burning crop residues (Emissions N2O),1967,0.0233
Brazil,Wheat,Burning crop residues (Emissions N2O),1968,0.0272
Brazil,Wheat,Burning crop residues (Emissions N2O),1969,0.0394
Brazil,Wheat,Burning crop residues (Emissions N2O),1970,0.0531
Brazil,Wheat,Burning crop residues (Emissions N2O),1971,0.0635
Brazil,Wheat,Burning crop residues (Emissions N2O),1972,0.065
Brazil,Wheat,Burning crop residues (Emissions N2O),1973,0.0515
Brazil,Wheat,Burning crop residues (Emissions N2O),1974,0.0692
Brazil,Wheat,Burning crop residues (Emissions N2O),1975,0.0821
Brazil,Wheat,Burning crop residues (Emissions N2O),1976,0.0991
Brazil,Wheat,Burning crop residues (Emissions N2O),1977,0.0883
Brazil,Wheat,Burning crop residues (Emissions N2O),1978,0.0787
Brazil,Wheat,Burning crop residues (Emissions N2O),1979,0.1073
Brazil,Wheat,Burning crop residues (Emissions N2O),1980,0.0874
Brazil,Wheat,Burning crop residues (Emissions N2O),1981,0.0538
Brazil,Wheat,Burning crop residues (Emissions N2O),1982,0.0792
Brazil,Wheat,Burning crop residues (Emissions N2O),1983,0.0526
Brazil,Wheat,Burning crop residues (Emissions N2O),1984,0.0488
Brazil,Wheat,Burning crop residues (Emissions N2O),1985,0.0749
Brazil,Wheat,Burning crop residues (Emissions N2O),1986,0.1091
Brazil,Wheat,Burning crop residues (Emissions N2O),1987,0.0967
Brazil,Wheat,Burning crop residues (Emissions N2O),1988,0.0973
Brazil,Wheat,Burning crop residues (Emissions N2O),1989,0.0919
Brazil,Wheat,Burning crop residues (Emissions N2O),1990,0.0751
Brazil,Wheat,Burning crop residues (Emissions N2O),1991,0.0574
Brazil,Wheat,Burning crop residues (Emissions N2O),1992,0.0548
Brazil,Wheat,Burning crop residues (Emissions N2O),1993,0.0415
Brazil,Wheat,Burning crop residues (Emissions N2O),1994,0.0378
Brazil,Wheat,Burning crop residues (Emissions N2O),1995,0.0279
Brazil,Wheat,Burning crop residues (Emissions N2O),1996,0.0503
Brazil,Wheat,Burning crop residues (Emissions N2O),1997,0.0426
Brazil,Wheat,Burning crop residues (Emissions N2O),1998,0.0394
Brazil,Wheat,Burning crop residues (Emissions N2O),1999,0.035
Brazil,Wheat,Burning crop residues (Emissions N2O),2000,0.0319
Brazil,Wheat,Burning crop residues (Emissions N2O),2001,0.0484
Brazil,Wheat,Burning crop residues (Emissions N2O),2002,0.0589
Brazil,Wheat,Burning crop residues (Emissions N2O),2003,0.0717
Brazil,Wheat,Burning crop residues (Emissions N2O),2004,0.0786
Brazil,Wheat,Burning crop residues (Emissions N2O),2005,0.0661
Brazil,Wheat,Burning crop residues (Emissions N2O),2006,0.0437
Brazil,Wheat,Burning crop residues (Emissions N2O),2007,0.0519
Brazil,Wheat,Burning crop residues (Emissions N2O),2008,0.0662
Brazil,Wheat,Burning crop residues (Emissions N2O),2009,0.068
Brazil,Wheat,Burning crop residues (Emissions N2O),2010,0.0611
Brazil,Wheat,Burning crop residues (Emissions N2O),2011,0.0599
Brazil,Wheat,Burning crop residues (Emissions N2O),2012,0.0536
Brazil,Wheat,Burning crop residues (Emissions N2O),2013,0.0584
Brazil,Wheat,Burning crop residues (Emissions N2O),2014,0.0794
Brazil,Wheat,Burning crop residues (Emissions N2O),2015,0.0692
Brazil,Wheat,Burning crop residues (Emissions N2O),2016,0.0607
Brazil,Wheat,Burning crop residues (Emissions N2O),2017,0.0534
Brazil,Wheat,Burning crop residues (Emissions N2O),2018,0.0582
Brazil,Wheat,Burning crop residues (Emissions N2O),2019,0.0589
Brazil,Wheat,Burning crop residues (Emissions N2O),2020,0.0681
Brazil,Wheat,Burning crop residues (Emissions N2O),2021,0.0771
Brazil,Wheat,Burning crop residues (Emissions N2O),2022,0.0887
Brazil,Wheat,Burning crop residues (Emissions N2O),2030,0.0775
Brazil,Wheat,Burning crop residues (Emissions N2O),2050,0.0854
Brazil,Wheat,Burning crop residues (Emissions CH4),1961,1.104
Brazil,Wheat,Burning crop residues (Emissions CH4),1962,0.8029
Brazil,Wheat,Burning crop residues (Emissions CH4),1963,0.857
Brazil,Wheat,Burning crop residues (Emissions CH4),1964,0.7923
Brazil,Wheat,Burning crop residues (Emissions CH4),1965,0.828
Brazil,Wheat,Burning crop residues (Emissions CH4),1966,0.7743
Brazil,Wheat,Burning crop residues (Emissions CH4),1967,0.8973
Brazil,Wheat,Burning crop residues (Emissions CH4),1968,1.0477
Brazil,Wheat,Burning crop residues (Emissions CH4),1969,1.5197
Brazil,Wheat,Burning crop residues (Emissions CH4),1970,2.0469
Brazil,Wheat,Burning crop residues (Emissions CH4),1971,2.4504
Brazil,Wheat,Burning crop residues (Emissions CH4),1972,2.5056
Brazil,Wheat,Burning crop residues (Emissions CH4),1973,1.9865
Brazil,Wheat,Burning crop residues (Emissions CH4),1974,2.6688
Brazil,Wheat,Burning crop residues (Emissions CH4),1975,3.166
Brazil,Wheat,Burning crop residues (Emissions CH4),1976,3.8231
Brazil,Wheat,Burning crop residues (Emissions CH4),1977,3.4056
Brazil,Wheat,Burning crop residues (Emissions CH4),1978,3.0361
Brazil,Wheat,Burning crop residues (Emissions CH4),1979,4.137
Brazil,Wheat,Burning crop residues (Emissions CH4),1980,3.3719
Brazil,Wheat,Burning crop residues (Emissions CH4),1981,2.0738
Brazil,Wheat,Burning crop residues (Emissions CH4),1982,3.0542
Brazil,Wheat,Burning crop residues (Emissions CH4),1983,2.0294
Brazil,Wheat,Burning crop residues (Emissions CH4),1984,1.881
Brazil,Wheat,Burning crop residues (Emissions CH4),1985,2.8909
Brazil,Wheat,Burning crop residues (Emissions CH4),1986,4.2095
Brazil,Wheat,Burning crop residues (Emissions CH4),1987,3.7312
Brazil,Wheat,Burning crop residues (Emissions CH4),1988,3.7544
Brazil,Wheat,Burning crop residues (Emissions CH4),1989,3.5449
Brazil,Wheat,Burning crop residues (Emissions CH4),1990,2.8955
Brazil,Wheat,Burning crop residues (Emissions CH4),1991,2.2134
Brazil,Wheat,Burning crop residues (Emissions CH4),1992,2.1121
Brazil,Wheat,Burning crop residues (Emissions CH4),1993,1.6008
